Event Title,Slug,Collection ID,Created On,Location,Registration Link,Date,Time,Price,Online/offline,Organizer,Image,Description,Clicks
Sensemaking for Impact - Masterclass,sensemaking-for-impact-masterclass,5e1f40c8bbfbed43bd5c2d7d,Sun Mar 01 2020 03:43:58 GMT+0000 (Coordinated Universal Time),Bangalore,https://ti.to/studio-d/Bengaluru-2020-02,17/04/2020,,Paid,Offline,to.to Studio,,,
Snapchat India | India's First Augmented Reality Lens Creation Hackathon,snapchat-india-lensathon-indias-first-augmented-reality-lens-creation-hackathon,5e1f40c8bbfbed43bd5c2d7d,Sun May 10 2020 14:42:07 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/AR-Lens-Workshop,06/06/2020,,Free,Online,Snapchat,,,
Sneak Peek into CRED's latest redesign & finance products,sneak-peek-into-creds-latest-redesign-finance-products,5e1f40c8bbfbed43bd5c2d7d,Sat Apr 25 2020 11:09:07 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/sneak-peek-into-cred-s-latest-redesign--finance-products,07/05/2020,,Paid,Online,Hellomeets,,,
Start a UI design project in Figma,start-a-ui-design-project-in-figma,5e1f40c8bbfbed43bd5c2d7d,Mon May 11 2020 05:00:00 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSfCbiKRG-jcf7VmcJ4716XpOM5sc2Lz0sdcl_ZNYHfThorlpg/viewform,17/05/2020,,Free,Online,Karan Kapoor,,,
System Thinking in the times of COVID-19 - Rethinking UX,system-thinking-in-the-times-of-covid-19-rethinking-ux,5e1f40c8bbfbed43bd5c2d7d,Wed Apr 15 2020 06:41:32 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSeJGpT415MI0BeXY26d23lNE0WsziHG53aq8zSMl74tt5BdGA/viewform,18/04/2020,,Free,Online,Rethinking UX,,,
"The Art of Doodling using Procreate, Photoshop & Illustrator",the-art-of-doodling-using-procreate-photoshop-illustrator,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 24 2020 15:13:31 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/the-art-of-doodling,10/05/2020,,Paid,Online,Hellomeets,,,
"Understanding Consumer Behaviour: How it helps Designers, Product Managers & Marketers",understanding-consumer-behaviour-how-it-helps-designers-product-managers-marketers,5e1f40c8bbfbed43bd5c2d7d,Tue Apr 14 2020 18:18:38 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/understanding-consumer-behaviour-how-it-helps-designers-product-managers--marketers?utm_source=whatsapp&utm_medium=chat,25/04/2020,,Paid,Online,HelloMeets,,,
UX Crunch at Home: Cognitive Psychology,ux-crunch-at-home-cognitive-psychology,5e1f40c8bbfbed43bd5c2d7d,Sat Mar 21 2020 15:21:41 GMT+0000 (Coordinated Universal Time),Online,https://www.bigmarker.com/tech-circus-tv/The-UX-Crunch-Cognitive-Psychology,,,Paid,Online,UX Crunch,,,
What is UX Design - Brain Eaters,what-is-ux-design-brain-eaters,5e1f40c8bbfbed43bd5c2d7d,Fri May 15 2020 17:14:54 GMT+0000 (Coordinated Universal Time),Online,https://braineaters.in/,18/05/2020,,Free,Online,Braineaters,,,
Why is UX Important in Product? - Saptarshi Prakash x Producti-witty webinar series,why-is-ux-important-in-product-saptarshi-prakash-x-producti-witty-webinar-series,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 17 2020 18:09:56 GMT+0000 (Coordinated Universal Time),Online,https://www.surveymonkey.com/r/XTVBC8G,19/04/2020,,Free,Online,Producti-Witty,,,
